;Установка;;;1 ревизия;;;;;;;;;;;;2 ревизия;;;;;;;;;;;;3 ревизия;;;;;;;;;;;;4 ревизия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ гильзы;Дата ввода ;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;;;
30014811;03.07.2020;8;5;05.07.2020;08.07.2020;ревизия;3053;"0;4";"0;4";"0;4";"0;4";"0;4";;8;5;12.07.2020;15.07.2020;ревизия;5759;"0;4";"0;4";"0;4";"0;4";"0;4";;8;5;19.07.2020;23.07.2020;ревизия;8327;"0;4";"0;4";"0;4";"0;4";"0;4";;8;6;24.07.2020;27.07.2020;ревизия;9993;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83898;27.07.2020;8;1;28.07.2020;30.07.2020;Задир НЛЗ;1602;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014811;31.08.2020;8;2;04.08.2020;06.08.2020;ромб 18;11111;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014806;06.08.2020;8;4;06.08.2020;10.08.2020;ревизия;3217;"0;4";"0;4";"0;4";"0;4";"0;4";;8;1;11.08.2020;14.08.2020;ревизия;5816;"0;4";"0;4";"0;4";"0;4";"0;4";;8;2;15.08.2020;17.08.2020;ромб 28;6584;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014801;17.08.2020;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013867;26.12.2019;9;2;30.12.2019;04.01.2020;смена сечения;3982;"0;5";"0;5";"0;5";"0;5";"0;5";ромб более 10;9;4;12.01.2020;17.01.2020;ревизия;8726;"0;5";"0;5";"0;5";"0;5";"0;5";;9;2;19.05.2020;21.05.2020;смена сечения;10601;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014810;28.06.2020;9;3;30.06.2020;06.07.2020;ревизия;4613;"0;4";"0;4";"0;4";"0;4";"0;4";;9;3;09.07.2020;14.07.2020;ревизия;9055;"0;4";"0;4";"0;4";"0;4";"0;4";;9;3;17.07.2020;20.07.2020;ревизия;11537;"0;4";"0;4";"0;4";"0;4";"0;4";;9;3;24.07.2020;28.07.2020;ревизия;13952;"0;4";"0;4";"0;4";"0;4";"0;4";;9;5;29.07.2020;01.08.2020;ревизия;17266;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 15;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013865;25.12.2019;10;1;26.12.2019;30.12.2019;ревизия;2509;"0;5";"0;5";"0;5";"0;5";"0;5";;10;1;06.01.2020;13.01.2020;ревизия;8089;"0;5";"0;5";"0;5";"0;5";"0;5";;10;1;.01.2020;20.01.2020;смена сечения;10686;"0;5";"0;5";"0;5";"0;5";"0;5";трещины на заготовке;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013359;20.01.2020;10;2;27.04.2020;29.04.2020;смена сечения;1414;"0;4";"0;4";"0;4";"0;4";"0;4";;10;2;02.05.2020;04.05.2020;смена сечения;3112;"0;4";"0;4";"0;4";"0;4";"0;4";;10;2;09.05.2020;10.05.2020;ромб 17;4064;"0;4";"0;4";"0;4";"0;4";"0;4";;10;3;19.05.2020;21.05.2020;смена сечения;5963;"0;4";"0;4";"0;4";"0;4";"0;4";;10;2;27.05.2020;31.05.2020;ревизия;9319;"0;4";"0;4";"0;4";"0;4";"0;4";;10;6;11.06.2020;13.06.2020;залита подвеска;10416;"0;4";"0;4";"0;4";"0;4";"0;4";;10;5;22.06.2020;24.06.2020;смена сечения;11611;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 14;;;
30014808;27.06.2020;10;4;30.06.2020;05.07.2020;ревизия;3578;"0;4";"0;4";"0;4";"0;4";"0;4";;10;4;09.07.2020;12.07.2020;ревизия;6438;"0;4";"0;4";"0;4";"0;4";"0;4";;10;4;15.07.2020;19.07.2020;ревизия;9859;"0;4";"0;4";"0;4";"0;4";"0;4";;10;4;23.07.2020;27.07.2020;ревизия;12093;"0;4";"0;4";"0;4";"0;4";"0;4";;10;3;28.07.2020;01.08.2020;ромб 15;16425;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014819;01.08.2020;10;5;04.08.2020;05.08.2020;ревизия;2013;"0;4";"0;4";"0;4";"0;4";"0;4";;10;5;09.08.2020;12.08.2020;ревизия;4912;"0;4";"0;4";"0;4";"0;4";"0;4";;10;4;13.08.2020;17.08.2020;ревизия;7809;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013358;27.12.2019;11;4;30.12.2019;04.01.2020;смена сечения;3854;"0;5";"0;5";"0;5";"0;5";"0;5";ромб 10;11;5;10.01.2020;17.01.2020;ревизия;9742;"0;5";"0;5";"0;5";"0;5";"0;5";ромб 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014144;16.03.2020;11;3;27.04.2020;29.04.2020;смена сечения;1414;"0;4";"0;4";"0;4";"0;4";"0;4";;11;3;02.05.2020;04.05.2020;смена сечения;3291;"0;4";"0;4";"0;4";"0;4";"0;4";;11;3;09.05.2020;11.05.2020;смена сечения;4884;"0;4";"0;4";"0;4";"0;4";"0;4";;11;3;12.05.2020;17.06.2020;смена сечения;8792;"0;4";"0;4";"0;4";"0;4";"0;4";;11;4;22.05.2020;25.05.2020;смена сечения;10944;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 14;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014143;29.05.2020;11;6;30.05.2020;02.06.2020;смена сечения;2508;"0;4";"0;4";"0;4";"0;4";"0;4";;11;6;05.06.2020;11.06.2020;ревизия;7307;"0;4";"0;4";"0;4";"0;4";"0;4";;11;6;;14.06.2020;ревизия;8751;"0;4";"0;4";"0;4";"0;4";"0;4";;11;3;22.06.2020;24.06.2020;смена сечения;9971;"0;4";"0;4";"0;4";"0;4";"0;4";;11;5;27.06.2020;29.06.2020;ромб 17;12032;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014804;30.06.2020;11;5;30.06.2020;05.07.2020;ревизия;3513;"0;4";"0;4";"0;4";"0;4";"0;4";;11;5;08.07.2020;12.07.2020;ревизия;7099;"0;4";"0;4";"0;4";"0;4";"0;4";;11;5;15.07.2020;19.07.2020;ревизия;10508;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 14;11;5;23.07.2020;26.07.2020;ревизия;12576;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
